UserID,MovieID,Rating,MovieID,Tittle,Year,Genre 1,Genre 2,Genre 3,Genre 4,Certification,Run Time,Director,Director Won Oscar,Country,Budget,Lead Actor,Lead Actor Won Oscar,IMDB,Movie Won Oscar
2,1357,Bom
2,3068,Bom,3068,Verdict,1982,Drama,?,Drama_,,?,129,Sidney_Lumet,No,USA,16000000,Paul_Newman,Yes,7.8,No
2,1537,Bom,1537,Shall We Dance,1996,Comedy,?,Comedy_,,Rated PG-13 for some sexual references and brief language,106,Peter_Chelsom,No,USA,50000000,Richard_Gere,No,6.1,No
2,647,Regular
2,2194,Bom,2194,Untouchables,1987,Drama,Action,Drama_Action,,14,119,Brian_De_Palma,No,USA,25000000,Kevin_Costner,No,7.9,Yes
2,648,Bom,648,Mission: Impossible,1996,Action,Adventure,Action_Adventure,,Livre,110,Brian_De_Palma,No,USA,80000000,Tom_Cruise,No,7.1,No
2,2268,Bom,2268,Few Good Men,1992,Drama,Crime,Drama_Crime,,Rated R for language,138,Rob_Reiner,No,USA,40000000,Tom_Cruise,No,7.6,No
2,2628,Regular,2628,Star Wars: Episode I - The Phantom Menace,1999,Sci-Fi,Action,Sci-Fi_Action,,Livre,136,George_Lucas,No,USA,115000000,Ewan_McGregor,No,6.5,No
2,1103,Regular,1103,Rebel Without a Cause,1955,Drama,?,Drama_,,14,111,Nicholas_Ray,No,USA,1500000,James_Dean,No,7.8,No
2,2916,Regular,2916,Total Recall,1990,Sci-Fi,Action,Sci-Fi_Action,,14,113,Paul_Verhoeven,No,USA,65000000,Arnold_Schwarzenegger,No,7.5,No
2,3468,Bom,3468,Hustler,1961,Drama,?,Drama_,,12,134,Robert_Rossen,No,USA,2000000,Paul_Newman,Yes,8.0,Yes
2,1210,Bom,1210,Star Wars: Episode VI - Return of the Jedi,1983,Sci-Fi,Action,Sci-Fi_Action,,Livre,131,Richard_Marquand,No,USA,32500000,Mark_Hamill,No,8.4,No
2,1792,Regular,1792,U.S. Marshalls,1998,Action,Thriller,Action_Thriller,,14,131,Stuart_Baird,No,USA,60000000,Tommy_Lee_Jones,Yes,6.5,No
2,1687,Regular,1687,Jackal,1997,Action,Thriller,Action_Thriller,,14,124,Michael_Caton-Jones,No,USA,60000000,Bruce_Willis,No,6.3,No
2,1213,Ruim,1213,GoodFellas,1990,Drama,Crime,Drama_Crime,,14,146,Martin_Scorsese,Yes,USA,25000000,Robert_De_Niro,Yes,8.7,Yes
2,3578,Bom,3578,Gladiator,2000,Drama,Action,Drama_Action,,14,155,Ridley_Scott,No,USA,103000000,Russell_Crowe,Yes,8.5,Yes
2,2881,Regular
2,3030,Bom
2,1217,Regular
2,3105,Bom,3105,Awakenings,1990,Drama,?,Drama_,,?,121,Penny_Marshall,No,USA,?,Robert_De_Niro,Yes,7.8,No
2,434,Ruim,434,Cliffhanger,1993,Action,Crime,Action_Crime,,Rated R for violence and language,112,Renny_Harlin,No,USA,70000000,Sylvester_Stallone,No,6.4,No
2,2126,Regular
2,3107,Ruim,3107,Backdraft,1991,Drama,Action,Drama_Action,,Rated R for language and a scene of sensuality,137,Ron_Howard,Yes,USA,75000000,Kurt_Russell,No,6.7,No
