2,final_de_semana,sozinho,nao_esta_sentado,tarde,iluminada,fria,ligada,Nao
8,final_de_semana,sozinho,sentado,tarde,escura,moderada,ligada,Sim
2,final_de_semana,acompanhado,sentado,madrugada,escura,fria,desligada,Nao
2,dia_da_semana,acompanhado,nao_esta_sentado,tarde,escura,quente,ligada,Nao
3,dia_da_semana,sozinho,nao_esta_sentado,tarde,iluminada,quente,desligada,Nao
15,final_de_semana,sozinho,nao_esta_sentado,noite,iluminada,fria,desligada,Nao
5,dia_da_semana,sozinho,nao_esta_sentado,manha,escura,moderada,ligada,Nao
16,dia_da_semana,sozinho,nao_esta_sentado,noite,escura,moderada,desligada,Nao
1,final_de_semana,acompanhado,nao_esta_sentado,manha,escura,quente,desligada,Nao
12,final_de_semana,sozinho,sentado,manha,escura,fria,desligada,Sim
4,final_de_semana,acompanhado,nao_esta_sentado,noite,iluminada,fria,desligada,Sim
18,final_de_semana,sozinho,nao_esta_sentado,noite,iluminada,quente,desligada,Nao
2,final_de_semana,acompanhado,nao_esta_sentado,manha,iluminada,fria,ligada,Sim
10,dia_da_semana,sozinho,sentado,tarde,escura,moderada,ligada,Sim
11,dia_da_semana,sozinho,sentado,manha,iluminada,quente,ligada,Nao
8,final_de_semana,sozinho,nao_esta_sentado,manha,escura,moderada,desligada,Nao
16,final_de_semana,sozinho,sentado,manha,escura,moderada,ligada,Sim
11,final_de_semana,sozinho,nao_esta_sentado,tarde,escura,quente,desligada,Nao
17,final_de_semana,sozinho,nao_esta_sentado,madrugada,escura,quente,desligada,Nao
13,dia_da_semana,acompanhado,nao_esta_sentado,madrugada,iluminada,quente,desligada,Sim
14,final_de_semana,acompanhado,sentado,madrugada,iluminada,moderada,desligada,Nao
4,final_de_semana,sozinho,sentado,manha,iluminada,moderada,ligada,Sim
17,dia_da_semana,acompanhado,nao_esta_sentado,madrugada,escura,fria,ligada,Nao
15,dia_da_semana,acompanhado,sentado,noite,escura,quente,ligada,Sim
7,dia_da_semana,acompanhado,sentado,tarde,escura,fria,ligada,Nao
2,dia_da_semana,acompanhado,nao_esta_sentado,manha,iluminada,fria,desligada,Nao
15,dia_da_semana,acompanhado,nao_esta_sentado,noite,iluminada,quente,desligada,Nao
14,final_de_semana,acompanhado,sentado,manha,escura,moderada,ligada,Nao
18,dia_da_semana,sozinho,sentado,tarde,escura,moderada,desligada,Sim
15,dia_da_semana,sozinho,sentado,tarde,iluminada,quente,ligada,Sim
9,dia_da_semana,acompanhado,sentado,tarde,iluminada,moderada,desligada,Nao
16,dia_da_semana,acompanhado,nao_esta_sentado,manha,escura,fria,ligada,Sim
17,dia_da_semana,sozinho,nao_esta_sentado,tarde,iluminada,fria,ligada,Nao
15,final_de_semana,acompanhado,sentado,madrugada,escura,moderada,desligada,Nao
4,final_de_semana,acompanhado,sentado,noite,escura,moderada,ligada,Sim
3,dia_da_semana,sozinho,nao_esta_sentado,madrugada,iluminada,moderada,desligada,Nao
3,final_de_semana,acompanhado,sentado,tarde,iluminada,moderada,desligada,Nao
1,dia_da_semana,sozinho,sentado,manha,escura,moderada,desligada,Nao
11,final_de_semana,sozinho,sentado,manha,iluminada,quente,desligada,Sim
7,dia_da_semana,sozinho,sentado,manha,escura,quente,desligada,Nao
8,dia_da_semana,acompanhado,nao_esta_sentado,tarde,escura,fria,ligada,Nao
5,final_de_semana,acompanhado,nao_esta_sentado,noite,iluminada,moderada,desligada,Nao
6,final_de_semana,acompanhado,nao_esta_sentado,noite,escura,fria,desligada,Sim
9,dia_da_semana,acompanhado,sentado,manha,escura,moderada,ligada,Nao
15,final_de_semana,sozinho,nao_esta_sentado,manha,iluminada,quente,ligada,Nao
19,dia_da_semana,sozinho,nao_esta_sentado,madrugada,escura,quente,ligada,Nao
5,dia_da_semana,sozinho,sentado,manha,escura,quente,ligada,Sim
17,final_de_semana,sozinho,sentado,madrugada,escura,quente,desligada,Nao
6,final_de_semana,sozinho,sentado,noite,iluminada,moderada,ligada,Sim
1,dia_da_semana,sozinho,sentado,noite,iluminada,moderada,ligada,Sim
7,final_de_semana,acompanhado,nao_esta_sentado,manha,iluminada,fria,desligada,Nao
3,dia_da_semana,sozinho,sentado,noite,escura,moderada,ligada,Sim
5,final_de_semana,acompanhado,nao_esta_sentado,tarde,iluminada,quente,desligada,Nao
17,dia_da_semana,sozinho,nao_esta_sentado,noite,escura,fria,ligada,Nao
15,final_de_semana,sozinho,sentado,tarde,escura,quente,ligada,Nao
